response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
10.5497,0.0007,0.0000,0.0002,10.5485,0.0002,200,0.0003
10.4454,0.0000,0.0000,0.0001,10.4453,0.0001,200,10.5500
10.0625,0.0000,0.0000,0.0000,10.0623,0.0002,200,20.9955
10.1016,0.0000,0.0000,0.0000,10.1015,0.0001,200,31.0580
10.2496,0.0000,0.0000,0.0000,10.2494,0.0001,200,41.1596
10.0760,0.0000,0.0000,0.0000,10.0759,0.0000,200,51.4093
10.1183,0.0000,0.0000,0.0000,10.1182,0.0001,200,61.4852
10.0898,0.0000,0.0000,0.0000,10.0897,0.0000,200,71.6035
10.1588,0.0000,0.0000,0.0000,10.1587,0.0001,200,81.6933
10.5541,0.0000,0.0000,0.0000,10.5540,0.0001,200,91.8521
