response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
29.2863,0.0006,0.0000,0.0002,29.2853,0.0002,200,0.0002
28.5761,0.0000,0.0000,0.0000,28.5759,0.0002,200,29.2865
28.8420,0.0000,0.0000,0.0001,28.8418,0.0001,200,57.8626
28.7508,0.0000,0.0000,0.0000,28.7506,0.0001,200,86.7046
29.0349,0.0000,0.0000,0.0000,29.0347,0.0001,200,115.4554
28.6432,0.0000,0.0000,0.0000,28.6431,0.0001,200,144.4903
28.6066,0.0000,0.0000,0.0000,28.6064,0.0001,200,173.1335
28.6425,0.0000,0.0000,0.0000,28.6423,0.0001,200,201.7401
28.7723,0.0000,0.0000,0.0000,28.7722,0.0001,200,230.3825
28.7161,0.0000,0.0000,0.0000,28.7160,0.0001,200,259.1549
