response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.5773,0.0006,0.0000,0.0002,1.5762,0.0001,500,0.0002
1.2274,0.0000,0.0000,0.0000,1.2271,0.0002,500,1.5774
1.2152,0.0000,0.0000,0.0000,1.2151,0.0001,500,2.8049
1.2415,0.0000,0.0000,0.0000,1.2414,0.0001,500,4.0200
1.1054,0.0000,0.0000,0.0000,1.1053,0.0001,500,5.2616
1.1072,0.0000,0.0000,0.0000,1.1071,0.0000,500,6.3670
1.4742,0.0000,0.0000,0.0000,1.4741,0.0000,500,7.4742
1.2284,0.0000,0.0000,0.0000,1.2283,0.0000,500,8.9483
1.1538,0.0000,0.0000,0.0000,1.1537,0.0001,500,10.1767
1.1252,0.0000,0.0000,0.0000,1.1251,0.0000,500,11.3305
