response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.4999,0.0008,0.0000,0.0002,1.4987,0.0002,500,0.0002
1.0896,0.0000,0.0000,0.0001,1.0893,0.0001,500,1.5001
1.1570,0.0000,0.0000,0.0000,1.1569,0.0001,500,2.5896
1.3155,0.0000,0.0000,0.0000,1.3154,0.0001,500,3.7466
1.0884,0.0000,0.0000,0.0000,1.0883,0.0000,500,5.0621
1.3683,0.0000,0.0000,0.0000,1.3682,0.0001,500,6.1505
1.2296,0.0000,0.0000,0.0000,1.2295,0.0000,500,7.5188
1.2295,0.0000,0.0000,0.0000,1.2294,0.0000,500,8.7484
1.2282,0.0000,0.0000,0.0000,1.2281,0.0001,500,9.9779
1.1880,0.0000,0.0000,0.0000,1.1879,0.0001,500,11.2061
