response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.7125,0.0007,0.0000,0.0002,1.7114,0.0002,500,0.0002
1.2284,0.0000,0.0000,0.0001,1.2281,0.0002,500,1.7126
1.2287,0.0000,0.0000,0.0000,1.2285,0.0001,500,2.9411
1.2293,0.0000,0.0000,0.0000,1.2292,0.0001,500,4.1697
1.2289,0.0000,0.0000,0.0000,1.2288,0.0001,500,5.3990
1.2289,0.0000,0.0000,0.0000,1.2288,0.0000,500,6.6280
1.2287,0.0000,0.0000,0.0000,1.2286,0.0000,500,7.8569
1.1283,0.0000,0.0000,0.0000,1.1282,0.0001,500,9.0855
1.3294,0.0000,0.0000,0.0000,1.3293,0.0001,500,10.2138
1.2284,0.0000,0.0000,0.0001,1.2283,0.0000,500,11.5433
