response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
10.2970,0.0006,0.0000,0.0002,10.2960,0.0001,200,0.0002
9.8919,0.0000,0.0000,0.0000,9.8917,0.0001,200,10.2972
10.1764,0.0000,0.0000,0.0000,10.1761,0.0001,200,20.1892
10.1758,0.0000,0.0000,0.0000,10.1756,0.0001,200,30.3655
10.0748,0.0000,0.0000,0.0000,10.0748,0.0000,200,40.5413
9.8959,0.0000,0.0000,0.0000,9.8958,0.0000,200,50.6162
10.1359,0.0000,0.0000,0.0000,10.1358,0.0001,200,60.5121
9.7972,0.0000,0.0000,0.0000,9.7971,0.0000,200,70.6480
10.1739,0.0000,0.0000,0.0000,10.1738,0.0001,200,80.4452
9.9281,0.0000,0.0000,0.0000,9.9280,0.0000,200,90.6191
