response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
12.6006,0.0006,0.0000,0.0001,12.5997,0.0002,200,0.0003
11.9333,0.0000,0.0000,0.0000,11.9332,0.0001,200,12.6009
11.9674,0.0000,0.0000,0.0000,11.9673,0.0000,200,24.5342
11.8804,0.0000,0.0000,0.0000,11.8803,0.0001,200,36.5016
11.8780,0.0000,0.0000,0.0000,11.8779,0.0001,200,48.3820
11.9397,0.0000,0.0000,0.0000,11.9396,0.0001,200,60.2600
11.9823,0.0000,0.0000,0.0000,11.9821,0.0001,200,72.1997
12.2878,0.0000,0.0000,0.0000,12.2877,0.0001,200,84.1820
11.8911,0.0000,0.0000,0.0000,11.8910,0.0001,200,96.4698
11.9542,0.0000,0.0000,0.0000,11.9540,0.0001,200,108.3610
