response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
11.1098,0.0010,0.0000,0.0002,11.1084,0.0001,200,0.0002
10.1175,0.0000,0.0000,0.0000,10.1174,0.0001,200,11.1100
9.9272,0.0000,0.0000,0.0000,9.9270,0.0001,200,21.2275
9.9545,0.0000,0.0000,0.0000,9.9544,0.0001,200,31.1547
10.1340,0.0000,0.0000,0.0000,10.1339,0.0001,200,41.1092
10.0032,0.0000,0.0000,0.0000,10.0031,0.0001,200,51.2432
10.0214,0.0000,0.0000,0.0001,10.0213,0.0001,200,61.2463
9.9622,0.0000,0.0000,0.0000,9.9621,0.0001,200,71.2678
9.9591,0.0000,0.0000,0.0000,9.9590,0.0001,200,81.2299
10.1140,0.0000,0.0000,0.0000,10.1139,0.0000,200,91.1890
