response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
15.5136,0.0007,0.0000,0.0002,15.5125,0.0002,200,0.0003
15.1682,0.0000,0.0000,0.0000,15.1680,0.0001,200,15.5139
15.3883,0.0000,0.0000,0.0001,15.3882,0.0001,200,30.6821
15.2579,0.0000,0.0000,0.0000,15.2577,0.0001,200,46.0704
15.1538,0.0000,0.0000,0.0000,15.1536,0.0001,200,61.3284
15.2629,0.0000,0.0000,0.0000,15.2628,0.0001,200,76.4821
15.1541,0.0000,0.0000,0.0000,15.1540,0.0001,200,91.7450
15.2931,0.0000,0.0000,0.0000,15.2930,0.0001,200,106.8992
15.2637,0.0000,0.0000,0.0000,15.2636,0.0001,200,122.1923
15.2166,0.0000,0.0000,0.0000,15.2165,0.0001,200,137.4560
