response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
16.9452,0.0006,0.0000,0.0001,16.9441,0.0003,200,0.0002
16.5720,0.0000,0.0000,0.0001,16.5717,0.0001,200,16.9454
16.4900,0.0000,0.0000,0.0000,16.4898,0.0001,200,33.5174
16.6197,0.0000,0.0000,0.0000,16.6196,0.0001,200,50.0074
16.5903,0.0000,0.0000,0.0000,16.5902,0.0001,200,66.6271
16.5147,0.0000,0.0000,0.0000,16.5145,0.0001,200,83.2174
16.5134,0.0000,0.0000,0.0000,16.5133,0.0001,200,99.7320
16.9343,0.0000,0.0000,0.0000,16.9342,0.0000,200,116.2454
16.5479,0.0000,0.0000,0.0000,16.5478,0.0001,200,133.1798
16.6027,0.0000,0.0000,0.0001,16.6026,0.0001,200,149.7277
