response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
11.2476,0.0006,0.0000,0.0001,11.2467,0.0001,200,0.0002
11.4689,0.0000,0.0000,0.0000,11.4688,0.0001,200,11.2478
10.7457,0.0000,0.0000,0.0000,10.7456,0.0001,200,22.7167
10.7580,0.0000,0.0000,0.0000,10.7579,0.0001,200,33.4625
11.0595,0.0000,0.0000,0.0001,11.0593,0.0000,200,44.2205
10.7528,0.0000,0.0000,0.0000,10.7527,0.0001,200,55.2800
10.7738,0.0000,0.0000,0.0000,10.7737,0.0001,200,66.0328
10.6786,0.0000,0.0000,0.0000,10.6785,0.0001,200,76.8066
11.0202,0.0000,0.0000,0.0000,11.0201,0.0001,200,87.4852
10.7179,0.0000,0.0000,0.0000,10.7178,0.0001,200,98.5054
