response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
12.8133,0.0006,0.0000,0.0002,12.8123,0.0001,200,0.0002
10.7832,0.0000,0.0000,0.0000,10.7829,0.0002,200,12.8135
10.5618,0.0000,0.0000,0.0001,10.5616,0.0001,200,23.5967
10.5455,0.0000,0.0000,0.0000,10.5454,0.0001,200,34.1585
10.6890,0.0000,0.0000,0.0000,10.6889,0.0001,200,44.7040
10.6244,0.0000,0.0000,0.0000,10.6243,0.0000,200,55.3930
11.0353,0.0000,0.0000,0.0000,11.0352,0.0001,200,66.0174
10.6322,0.0000,0.0000,0.0000,10.6320,0.0000,200,77.0527
10.5571,0.0000,0.0000,0.0000,10.5570,0.0000,200,87.6848
10.7606,0.0000,0.0000,0.0000,10.7604,0.0001,200,98.2419
