response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.4747,0.0008,0.0000,0.0002,1.4731,0.0002,200,0.0002
1.2156,0.0000,0.0000,0.0001,1.2153,0.0001,200,1.4749
1.0180,0.0000,0.0000,0.0000,1.0178,0.0002,200,2.6905
1.0071,0.0000,0.0000,0.0000,1.0070,0.0000,200,3.7086
1.0886,0.0000,0.0000,0.0000,1.0885,0.0001,200,4.7157
1.2285,0.0000,0.0000,0.0000,1.2284,0.0001,200,5.8043
1.2284,0.0000,0.0000,0.0000,1.2283,0.0000,200,7.0328
1.0109,0.0000,0.0000,0.0000,1.0108,0.0000,200,8.2612
1.0195,0.0000,0.0000,0.0000,1.0194,0.0001,200,9.2720
1.0116,0.0000,0.0000,0.0001,1.0115,0.0000,200,10.2915
