response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.3818,0.0020,0.0000,0.0007,1.3785,0.0001,200,0.0012
0.9401,0.0000,0.0000,0.0000,0.9400,0.0001,200,1.3831
1.0261,0.0000,0.0000,0.0000,1.0260,0.0001,200,2.3232
0.9713,0.0000,0.0000,0.0000,0.9712,0.0000,200,3.3493
0.9314,0.0000,0.0000,0.0000,0.9313,0.0000,200,4.3206
1.2227,0.0000,0.0000,0.0000,1.2226,0.0000,200,5.2520
1.1455,0.0000,0.0000,0.0000,1.1454,0.0000,200,6.4747
1.0053,0.0000,0.0000,0.0001,1.0051,0.0001,200,7.6202
1.2293,0.0000,0.0000,0.0001,1.2291,0.0001,200,8.6255
1.2286,0.0000,0.0000,0.0000,1.2286,0.0000,200,9.8547
