response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.5494,0.0008,0.0000,0.0001,1.5483,0.0001,200,0.0002
0.9667,0.0000,0.0000,0.0000,0.9665,0.0001,200,1.5496
1.0212,0.0000,0.0000,0.0000,1.0210,0.0002,200,2.5163
1.2287,0.0000,0.0000,0.0000,1.2286,0.0001,200,3.5375
1.2296,0.0000,0.0000,0.0000,1.2294,0.0000,200,4.7663
0.9526,0.0000,0.0000,0.0000,0.9525,0.0001,200,5.9958
1.1654,0.0000,0.0000,0.0000,1.1653,0.0000,200,6.9484
0.9998,0.0000,0.0000,0.0000,0.9997,0.0000,200,8.1139
0.9721,0.0000,0.0000,0.0000,0.9720,0.0001,200,9.1137
0.9612,0.0000,0.0000,0.0000,0.9611,0.0000,200,10.0857
