response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.1296,0.0006,0.0000,0.0001,2.1287,0.0001,200,0.0002
1.8842,0.0000,0.0000,0.0000,1.8841,0.0001,200,2.1297
1.7113,0.0000,0.0000,0.0000,1.7112,0.0001,200,4.0139
1.7314,0.0000,0.0000,0.0000,1.7313,0.0000,200,5.7253
1.6689,0.0000,0.0000,0.0000,1.6688,0.0000,200,7.4567
1.6985,0.0000,0.0000,0.0000,1.6984,0.0001,200,9.1255
1.7086,0.0000,0.0000,0.0000,1.7085,0.0000,200,10.8241
1.9267,0.0000,0.0000,0.0000,1.9266,0.0001,200,12.5326
1.6819,0.0000,0.0000,0.0000,1.6818,0.0001,200,14.4594
1.6866,0.0000,0.0000,0.0000,1.6865,0.0000,200,16.1413
