response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.5423,0.0012,0.0000,0.0002,1.5407,0.0002,200,0.0002
1.0882,0.0000,0.0000,0.0000,1.0881,0.0001,200,1.5425
1.1195,0.0000,0.0000,0.0000,1.1194,0.0001,200,2.6307
1.0995,0.0000,0.0000,0.0000,1.0994,0.0001,200,3.7502
1.1149,0.0000,0.0000,0.0000,1.1147,0.0001,200,4.8498
1.1319,0.0000,0.0000,0.0000,1.1318,0.0001,200,5.9646
1.1172,0.0000,0.0000,0.0000,1.1171,0.0001,200,7.0966
1.3438,0.0000,0.0000,0.0000,1.3437,0.0000,200,8.2137
1.0959,0.0000,0.0000,0.0000,1.0959,0.0001,200,9.5575
1.0893,0.0000,0.0000,0.0000,1.0891,0.0002,200,10.6535
