response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.8773,0.0008,0.0000,0.0002,1.8760,0.0001,200,0.0002
1.5355,0.0000,0.0000,0.0000,1.5354,0.0001,200,1.8775
1.5366,0.0000,0.0000,0.0000,1.5365,0.0001,200,3.4130
1.2805,0.0000,0.0000,0.0000,1.2803,0.0001,200,4.9496
1.4845,0.0000,0.0000,0.0000,1.4844,0.0000,200,6.2301
1.5362,0.0000,0.0000,0.0000,1.5361,0.0000,200,7.7146
1.5370,0.0000,0.0000,0.0000,1.5369,0.0000,200,9.2508
1.4333,0.0000,0.0000,0.0000,1.4332,0.0000,200,10.7878
1.3311,0.0000,0.0000,0.0000,1.3310,0.0000,200,12.2211
1.3482,0.0000,0.0000,0.0000,1.3481,0.0000,200,13.5522
