response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.8390,0.0007,0.0000,0.0001,2.8380,0.0001,200,0.0003
2.2035,0.0000,0.0000,0.0001,2.2033,0.0001,200,2.8393
2.4052,0.0000,0.0000,0.0000,2.4051,0.0001,200,5.0429
2.2516,0.0000,0.0000,0.0000,2.2515,0.0001,200,7.4481
2.2715,0.0000,0.0000,0.0000,2.2714,0.0001,200,9.6998
2.2348,0.0000,0.0000,0.0000,2.2347,0.0000,200,11.9713
2.1713,0.0000,0.0000,0.0000,2.1712,0.0001,200,14.2061
2.1909,0.0000,0.0000,0.0000,2.1908,0.0000,200,16.3774
2.1866,0.0000,0.0000,0.0000,2.1865,0.0001,200,18.5683
2.2436,0.0000,0.0000,0.0000,2.2435,0.0000,200,20.7549
