response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.5477,0.0018,0.0000,0.0011,1.5434,0.0001,200,0.0018
0.8917,0.0000,0.0000,0.0000,0.8915,0.0001,200,1.5494
1.0448,0.0000,0.0000,0.0000,1.0447,0.0001,200,2.4411
0.8878,0.0000,0.0000,0.0000,0.8877,0.0000,200,3.4859
0.9076,0.0000,0.0000,0.0000,0.9075,0.0000,200,4.3737
0.9674,0.0000,0.0000,0.0000,0.9673,0.0001,200,5.2814
0.9211,0.0000,0.0000,0.0000,0.9209,0.0001,200,6.2487
0.8938,0.0000,0.0000,0.0000,0.8937,0.0000,200,7.1698
0.9489,0.0000,0.0000,0.0000,0.9488,0.0001,200,8.0636
0.8980,0.0000,0.0000,0.0000,0.8979,0.0000,200,9.0125
