response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.0043,0.0016,0.0000,0.0007,2.0005,0.0002,200,0.0013
1.4011,0.0000,0.0000,0.0000,1.4010,0.0001,200,2.0055
1.3221,0.0000,0.0000,0.0000,1.3220,0.0001,200,3.4067
1.3142,0.0000,0.0000,0.0000,1.3140,0.0001,200,4.7287
1.5318,0.0000,0.0000,0.0000,1.5317,0.0001,200,6.0429
1.5346,0.0000,0.0000,0.0000,1.5345,0.0001,200,7.5748
1.5368,0.0000,0.0000,0.0000,1.5367,0.0001,200,9.1094
1.4648,0.0000,0.0000,0.0000,1.4647,0.0001,200,10.6462
1.6068,0.0000,0.0000,0.0000,1.6067,0.0000,200,12.1110
1.3323,0.0000,0.0000,0.0000,1.3322,0.0000,200,13.7178
