response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.5968,0.0008,0.0000,0.0002,1.5956,0.0001,200,0.0003
1.0521,0.0000,0.0000,0.0000,1.0519,0.0001,200,1.5971
1.1625,0.0000,0.0000,0.0001,1.1622,0.0001,200,2.6492
1.1465,0.0000,0.0000,0.0000,1.1463,0.0001,200,3.8117
1.1065,0.0000,0.0000,0.0001,1.1063,0.0001,200,4.9581
1.1253,0.0000,0.0000,0.0000,1.1251,0.0001,200,6.0646
1.2292,0.0000,0.0000,0.0000,1.2291,0.0000,200,7.1900
1.1263,0.0000,0.0000,0.0000,1.1262,0.0001,200,8.4192
1.0507,0.0000,0.0000,0.0000,1.0506,0.0001,200,9.5455
1.2017,0.0000,0.0000,0.0000,1.2016,0.0000,200,10.5961
