response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.7776,0.0007,0.0000,0.0002,1.7764,0.0002,200,0.0002
1.0819,0.0000,0.0000,0.0000,1.0817,0.0001,200,1.7778
1.1660,0.0000,0.0000,0.0000,1.1659,0.0001,200,2.8596
1.0305,0.0000,0.0000,0.0001,1.0303,0.0000,200,4.0257
1.2057,0.0000,0.0000,0.0000,1.2056,0.0001,200,5.0562
1.2284,0.0000,0.0000,0.0000,1.2283,0.0000,200,6.2619
1.2296,0.0000,0.0000,0.0000,1.2295,0.0000,200,7.4902
1.0408,0.0000,0.0000,0.0000,1.0407,0.0000,200,8.7198
1.1090,0.0000,0.0000,0.0000,1.1089,0.0000,200,9.7606
1.2288,0.0000,0.0000,0.0000,1.2287,0.0001,200,10.8695
