response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
9.6541,0.4643,0.0032,0.0001,4.4950,4.6947,200,0.0003
6.8163,0.0000,0.0000,0.0000,4.6364,2.1799,200,9.6544
5.6628,0.0000,0.0000,0.0000,4.4532,1.2095,200,16.4707
6.2462,0.0000,0.0000,0.0000,4.4898,1.7563,200,22.1335
6.4308,0.0000,0.0000,0.0000,4.4789,1.9518,200,28.3797
5.2262,0.0000,0.0000,0.0000,4.4732,0.7529,200,34.8105
7.2974,0.0000,0.0000,0.0000,4.4624,2.8349,200,40.0366
5.8099,0.0000,0.0000,0.0000,4.4991,1.3107,200,47.3340
6.3316,0.0000,0.0000,0.0000,4.5092,1.8223,200,53.1439
6.4322,0.0000,0.0000,0.0000,4.3935,2.0386,200,59.4754
6.5048,0.0000,0.0000,0.0000,4.5512,1.9535,200,65.9076
6.4001,0.0000,0.0000,0.0000,4.5151,1.8849,200,72.4124
5.6992,0.0000,0.0000,0.0000,4.6503,1.0488,200,78.8125
5.9268,0.0000,0.0000,0.0000,4.5593,1.3674,200,84.5116
7.4301,0.0000,0.0000,0.0000,4.4791,2.9509,200,90.4384
5.1575,0.0000,0.0000,0.0000,4.4853,0.6721,200,97.8685
5.8767,0.0000,0.0000,0.0000,4.4748,1.4018,200,103.0260
6.4099,0.0000,0.0000,0.0000,4.4285,1.9813,200,108.9028
6.0963,0.0000,0.0000,0.0000,4.4610,1.6352,200,115.3127
6.1353,0.0000,0.0000,0.0000,4.4799,1.6553,200,121.4090
