response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
7.1966,0.1848,0.0030,0.0002,4.8642,2.1473,200,0.0002
5.9592,0.0000,0.0000,0.0000,4.7757,1.1834,200,7.1969
5.5633,0.0000,0.0000,0.0000,4.7375,0.8257,200,13.1560
5.4812,0.0000,0.0000,0.0000,4.7830,0.6981,200,18.7193
5.3625,0.0000,0.0000,0.0000,4.7324,0.6301,200,24.2006
5.2607,0.0000,0.0000,0.0000,4.7953,0.4654,200,29.5631
5.4414,0.0000,0.0000,0.0000,4.8548,0.5866,200,34.8238
5.4357,0.0000,0.0000,0.0000,4.8251,0.6105,200,40.2653
5.3153,0.0000,0.0000,0.0000,4.7254,0.5898,200,45.7009
5.1606,0.0000,0.0000,0.0000,4.6976,0.4629,200,51.0162
5.1399,0.0000,0.0000,0.0000,4.6687,0.4711,200,56.1768
5.3737,0.0000,0.0000,0.0000,4.7481,0.6256,200,61.3168
5.4144,0.0000,0.0000,0.0000,4.7253,0.6891,200,66.6905
5.4541,0.0000,0.0000,0.0000,4.7984,0.6556,200,72.1049
5.3794,0.0000,0.0000,0.0000,4.7743,0.6050,200,77.5590
5.2720,0.0000,0.0000,0.0000,4.6729,0.5990,200,82.9384
5.3474,0.0000,0.0000,0.0000,4.7500,0.5973,200,88.2104
5.3316,0.0000,0.0000,0.0000,4.7316,0.6000,200,93.5578
5.2368,0.0000,0.0000,0.0000,4.6346,0.6022,200,98.8893
5.3311,0.0000,0.0000,0.0000,4.6900,0.6411,200,104.1262
