response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
11.3799,0.0009,0.0000,0.0002,5.2500,6.1288,200,0.0002
10.6161,0.0000,0.0000,0.0000,4.6867,5.9293,200,11.3800
9.3125,0.0000,0.0000,0.0001,4.5531,4.7593,200,21.9962
8.7428,0.0000,0.0000,0.0000,4.9465,3.7963,200,31.3087
8.6733,0.0000,0.0000,0.0000,4.8930,3.7802,200,40.0515
8.7503,0.0000,0.0000,0.0000,4.8374,3.9128,200,48.7248
10.0205,0.0000,0.0000,0.0000,4.6910,5.3295,200,57.4751
9.0517,0.0000,0.0000,0.0000,4.8775,4.1742,200,67.4956
7.8306,0.0000,0.0000,0.0001,4.7331,3.0974,200,76.5473
7.5137,0.0000,0.0000,0.0000,4.5847,2.9289,200,84.3779
8.8418,0.0000,0.0000,0.0000,4.8788,3.9630,200,91.8917
8.4381,0.0000,0.0000,0.0000,4.5863,3.8517,200,100.7335
8.8853,0.0000,0.0000,0.0000,4.5814,4.3039,200,109.1716
11.4142,0.0000,0.0000,0.0000,4.7960,6.6182,200,118.0569
12.6838,0.0000,0.0000,0.0000,4.7191,7.9647,200,129.4712
12.3931,0.0000,0.0000,0.0000,4.7812,7.6118,200,142.1550
12.4737,0.0000,0.0000,0.0000,4.7779,7.6958,200,154.5482
11.2913,0.0000,0.0000,0.0000,4.8019,6.4892,200,167.0219
8.3562,0.0000,0.0000,0.0000,4.5709,3.7852,200,178.3131
6.8470,0.0000,0.0000,0.0000,4.7828,2.0641,200,186.6693
