response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
7.5114,0.0018,0.0000,0.0005,4.6494,2.8595,200,0.0010
7.5980,0.0000,0.0000,0.0000,4.2074,3.3906,200,7.5124
7.0926,0.0000,0.0000,0.0000,4.2300,2.8624,200,15.1105
7.4894,0.0000,0.0000,0.0000,4.2063,3.2830,200,22.2030
7.8008,0.0000,0.0000,0.0000,4.1627,3.6380,200,29.6924
8.4158,0.0000,0.0000,0.0000,4.3360,4.0797,200,37.4932
7.6128,0.0000,0.0000,0.0000,4.0514,3.5613,200,45.9090
7.9359,0.0000,0.0000,0.0000,4.2563,3.6796,200,53.5218
8.1977,0.0000,0.0000,0.0000,3.9985,4.1992,200,61.4577
8.6349,0.0000,0.0000,0.0001,4.2298,4.4049,200,69.6554
8.2807,0.0000,0.0000,0.0000,4.2774,4.0032,200,78.2903
7.6176,0.0000,0.0000,0.0000,4.2957,3.3218,200,86.5710
6.8515,0.0000,0.0000,0.0000,4.2189,2.6325,200,94.1886
7.2643,0.0000,0.0000,0.0000,4.1960,3.0683,200,101.0401
7.2848,0.0000,0.0000,0.0000,4.3805,2.9042,200,108.3044
7.0205,0.0000,0.0000,0.0001,4.1977,2.8226,200,115.5892
7.3582,0.0000,0.0000,0.0000,4.3175,3.0406,200,122.6097
6.8784,0.0000,0.0000,0.0000,4.2199,2.6585,200,129.9679
6.9786,0.0000,0.0000,0.0000,4.4091,2.5694,200,136.8463
6.9366,0.0000,0.0000,0.0000,3.9939,2.9426,200,143.8249
