response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
11.0670,0.0009,0.0000,0.0002,8.7813,2.2845,200,0.0002
10.5322,0.0000,0.0000,0.0001,8.6691,1.8630,200,11.0672
10.0194,0.0000,0.0000,0.0000,8.1553,1.8639,200,21.5995
9.9669,0.0000,0.0000,0.0000,8.1822,1.7846,200,31.6189
12.8904,0.0000,0.0000,0.0000,8.4826,4.4078,200,41.5858
11.9536,0.0000,0.0000,0.0000,8.1079,3.8457,200,54.4762
11.1095,0.0000,0.0000,0.0000,8.2719,2.8376,200,66.4298
10.6459,0.0000,0.0000,0.0000,8.6408,2.0050,200,77.5393
10.4038,0.0000,0.0000,0.0000,7.8645,2.5392,200,88.1852
10.8603,0.0000,0.0000,0.0000,8.3611,2.4992,200,98.5890
10.7974,0.0000,0.0000,0.0000,7.8294,2.9680,200,109.4493
10.9037,0.0000,0.0000,0.0000,7.9021,3.0016,200,120.2467
13.9581,0.0000,0.0000,0.0000,8.1791,5.7790,200,131.1505
14.2288,0.0000,0.0000,0.0000,8.2408,5.9879,200,145.1086
11.0351,0.0000,0.0000,0.0000,7.9928,3.0423,200,159.3374
10.5930,0.0000,0.0000,0.0000,8.1659,2.4270,200,170.3725
10.7791,0.0000,0.0000,0.0000,8.1642,2.6148,200,180.9655
10.3525,0.0000,0.0000,0.0000,7.9101,2.4423,200,191.7446
11.0020,0.0000,0.0000,0.0000,8.3835,2.6184,200,202.0971
10.8429,0.0000,0.0000,0.0000,7.8326,3.0102,200,213.0990
