response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
10.0688,0.0006,0.0000,0.0001,4.4446,5.6234,200,0.0002
10.6841,0.0000,0.0000,0.0000,4.3847,6.2993,200,10.0690
10.4270,0.0000,0.0000,0.0000,4.2217,6.2052,200,20.7531
8.4022,0.0000,0.0000,0.0001,4.2422,4.1599,200,31.1801
7.6344,0.0000,0.0000,0.0000,4.4266,3.2077,200,39.5823
7.1890,0.0000,0.0000,0.0000,4.2681,2.9208,200,47.2168
7.2552,0.0000,0.0000,0.0000,4.3774,2.8778,200,54.4058
9.7325,0.0000,0.0000,0.0000,4.2716,5.4608,200,61.6610
8.3268,0.0000,0.0000,0.0000,4.4891,3.8377,200,71.3935
6.7406,0.0000,0.0000,0.0000,4.2493,2.4913,200,79.7203
6.3800,0.0000,0.0000,0.0000,4.3743,2.0057,200,86.4609
6.3188,0.0000,0.0000,0.0000,4.1672,2.1516,200,92.8409
7.1567,0.0000,0.0000,0.0000,3.9756,3.1810,200,99.1597
7.3307,0.0000,0.0000,0.0000,4.3715,2.9592,200,106.3164
9.6954,0.0000,0.0000,0.0000,4.4386,5.2567,200,113.6472
8.6495,0.0000,0.0000,0.0000,4.5477,4.1017,200,123.3426
8.8268,0.0000,0.0000,0.0000,4.3949,4.4318,200,131.9922
8.6007,0.0000,0.0000,0.0000,4.2741,4.3266,200,140.8190
8.7577,0.0000,0.0000,0.0000,4.1725,4.5852,200,149.4197
8.9877,0.0000,0.0000,0.0000,4.4124,4.5752,200,158.1775
