response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
12.3307,0.0008,0.0000,0.0002,7.5174,4.8122,200,0.0002
11.9517,0.0000,0.0000,0.0001,7.3041,4.6475,200,12.3309
12.3114,0.0000,0.0000,0.0001,7.0009,5.3103,200,24.2827
11.9323,0.0000,0.0000,0.0000,7.5161,4.4162,200,36.5940
11.9749,0.0000,0.0000,0.0000,7.2272,4.7477,200,48.5263
11.8026,0.0000,0.0000,0.0000,7.1032,4.6993,200,60.5013
11.6910,0.0000,0.0000,0.0000,7.6441,4.0469,200,72.3039
11.0712,0.0000,0.0000,0.0000,7.8416,3.2296,200,83.9949
10.8316,0.0000,0.0000,0.0000,6.9064,3.9251,200,95.0661
11.5617,0.0000,0.0000,0.0000,6.8113,4.7503,200,105.8977
12.0074,0.0000,0.0000,0.0000,7.7856,4.2218,200,117.4594
11.0609,0.0000,0.0000,0.0000,7.0638,3.9970,200,129.4669
10.5222,0.0000,0.0000,0.0000,7.3291,3.1931,200,140.5278
9.9289,0.0000,0.0000,0.0001,6.8668,3.0621,200,151.0500
9.3968,0.0000,0.0000,0.0000,7.1188,2.2779,200,160.9790
9.8959,0.0000,0.0000,0.0000,7.2537,2.6421,200,170.3757
11.1994,0.0000,0.0000,0.0000,7.3601,3.8392,200,180.2716
11.3848,0.0000,0.0000,0.0000,7.0776,4.3070,200,191.4710
10.7330,0.0000,0.0000,0.0001,6.8752,3.8577,200,202.8558
11.4120,0.0000,0.0000,0.0000,7.4791,3.9328,200,213.5888
