response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
10.7545,0.0023,0.0000,0.0014,5.5974,5.1532,200,0.0014
10.3716,0.0000,0.0000,0.0000,5.4992,4.8723,200,10.7559
10.3880,0.0000,0.0000,0.0001,5.5031,4.8849,200,21.1275
8.8081,0.0000,0.0000,0.0000,5.2165,3.5916,200,31.5156
8.8044,0.0000,0.0000,0.0000,5.3662,3.4381,200,40.3237
8.2687,0.0000,0.0000,0.0000,5.6355,2.6331,200,49.1281
7.9725,0.0000,0.0000,0.0000,5.3300,2.6423,200,57.3968
8.7055,0.0000,0.0000,0.0000,5.7504,2.9550,200,65.3693
8.4313,0.0000,0.0000,0.0000,5.3343,3.0969,200,74.0747
8.3472,0.0000,0.0000,0.0000,5.5145,2.8326,200,82.5061
9.8150,0.0000,0.0000,0.0000,5.0549,4.7600,200,90.8533
10.0419,0.0000,0.0000,0.0000,5.8958,4.1460,200,100.6683
8.8998,0.0000,0.0000,0.0000,5.5172,3.3826,200,110.7102
8.7717,0.0000,0.0000,0.0000,5.8869,2.8848,200,119.6100
8.9612,0.0000,0.0000,0.0000,5.5314,3.4297,200,128.3817
11.7170,0.0000,0.0000,0.0000,5.5265,6.1904,200,137.3429
9.8548,0.0000,0.0000,0.0000,5.5160,4.3388,200,149.0599
8.0624,0.0000,0.0000,0.0000,5.6154,2.4470,200,158.9147
7.5265,0.0000,0.0000,0.0000,5.3066,2.2199,200,166.9771
7.7448,0.0000,0.0000,0.0000,5.5922,2.1525,200,174.5037
