response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
13.5369,0.0020,0.0000,0.0005,6.4369,7.0971,200,0.0011
12.4965,0.0000,0.0000,0.0001,5.7755,6.7209,200,13.5381
15.6515,0.0000,0.0000,0.0000,5.9991,9.6523,200,26.0345
12.2162,0.0000,0.0000,0.0000,5.6140,6.6022,200,41.6861
8.6031,0.0000,0.0000,0.0000,5.8278,2.7753,200,53.9023
8.0553,0.0000,0.0000,0.0000,5.8193,2.2360,200,62.5054
9.2157,0.0000,0.0000,0.0000,5.6510,3.5647,200,70.5607
10.4141,0.0000,0.0000,0.0000,6.0180,4.3961,200,79.7764
10.2612,0.0000,0.0000,0.0000,5.6081,4.6530,200,90.1905
10.1078,0.0000,0.0000,0.0000,5.8026,4.3052,200,100.4517
9.8787,0.0000,0.0000,0.0000,5.6699,4.2088,200,110.5596
11.5291,0.0000,0.0000,0.0000,5.7554,5.7737,200,120.4383
12.0828,0.0000,0.0000,0.0000,5.8304,6.2524,200,131.9674
11.5950,0.0000,0.0000,0.0001,5.5506,6.0443,200,144.0503
11.2903,0.0000,0.0000,0.0000,6.0302,5.2601,200,155.6452
10.0103,0.0000,0.0000,0.0000,5.6000,4.4102,200,166.9356
11.0282,0.0000,0.0000,0.0000,5.7515,5.2766,200,176.9459
9.0756,0.0000,0.0000,0.0000,5.3960,3.6795,200,187.9740
10.7784,0.0000,0.0000,0.0000,5.8373,4.9411,200,197.0496
10.8758,0.0000,0.0000,0.0000,5.7793,5.0964,200,207.8281
