response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.0733,0.0006,0.0000,0.0002,1.4697,0.6027,200,0.0002
1.5397,0.0000,0.0000,0.0001,1.1345,0.4051,200,2.0735
1.5317,0.0000,0.0000,0.0001,1.1295,0.4021,200,3.6132
1.5346,0.0000,0.0000,0.0000,1.1325,0.4019,200,5.1449
1.5504,0.0000,0.0000,0.0000,1.1347,0.4156,200,6.6795
1.6320,0.0000,0.0000,0.0000,1.1264,0.5056,200,8.2299
1.5046,0.0000,0.0000,0.0000,1.0247,0.4799,200,9.8619
1.3543,0.0000,0.0000,0.0000,0.9571,0.3971,200,11.3666
1.3387,0.0000,0.0000,0.0000,0.9303,0.4083,200,12.7208
1.2955,0.0000,0.0000,0.0000,0.8897,0.4057,200,14.0595
1.2352,0.0000,0.0000,0.0000,0.8180,0.4171,200,15.3550
1.4439,0.0000,0.0000,0.0000,0.8463,0.5975,200,16.5902
3.7747,0.0000,0.0000,0.0000,1.1468,2.6279,200,18.0341
1.4660,0.0000,0.0000,0.0000,1.0587,0.4073,200,21.8088
1.5373,0.0000,0.0000,0.0000,1.1288,0.4084,200,23.2748
1.5504,0.0000,0.0000,0.0000,1.1275,0.4228,200,24.8121
1.2608,0.0000,0.0000,0.0001,0.8538,0.4069,200,26.3624
1.2508,0.0000,0.0000,0.0000,0.8470,0.4037,200,27.6233
1.4877,0.0000,0.0000,0.0000,1.0592,0.4284,200,28.8741
1.2765,0.0000,0.0000,0.0000,0.8723,0.4041,200,30.3618
