response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.0841,0.0025,0.0000,0.0007,2.2505,0.8300,200,0.0011
0.7328,0.0000,0.0000,0.0000,0.5144,0.2183,200,3.0851
0.5114,0.0000,0.0000,0.0000,0.4988,0.0126,200,3.8179
0.5109,0.0000,0.0000,0.0001,0.4926,0.0183,200,4.3293
2.5914,0.0000,0.0000,0.0000,0.7935,1.7978,200,4.8403
0.7377,0.0000,0.0000,0.0001,0.5171,0.2205,200,7.4317
1.1536,0.0000,0.0000,0.0000,0.5365,0.6171,200,8.1694
0.7659,0.0000,0.0000,0.0000,0.5317,0.2342,200,9.3230
1.1897,0.0000,0.0000,0.0000,0.7680,0.4216,200,10.0889
0.9135,0.0000,0.0000,0.0001,0.4914,0.4220,200,11.2786
1.1300,0.0000,0.0000,0.0000,0.5080,0.6219,200,12.1921
1.3288,0.0000,0.0000,0.0000,0.4922,0.8366,200,13.3220
1.3383,0.0000,0.0000,0.0000,0.5064,0.8319,200,14.6509
1.5560,0.0000,0.0000,0.0000,0.9081,0.6479,200,15.9892
1.1512,0.0000,0.0000,0.0000,0.5393,0.6118,200,17.5452
1.3422,0.0000,0.0000,0.0000,0.5007,0.8415,200,18.6964
1.3497,0.0000,0.0000,0.0000,0.6487,0.7010,200,20.0386
1.1174,0.0000,0.0000,0.0000,0.4979,0.6194,200,21.3884
1.1355,0.0000,0.0000,0.0000,0.5160,0.6195,200,22.5058
1.1585,0.0000,0.0000,0.0000,0.4957,0.6628,200,23.6413
