response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.8955,0.1890,0.0038,0.0002,0.7720,0.9341,200,0.0002
1.0320,0.0000,0.0000,0.0000,0.7912,0.2408,200,1.8957
1.0860,0.0000,0.0000,0.0000,0.8567,0.2292,200,2.9277
1.0320,0.0000,0.0000,0.0000,0.7944,0.2374,200,4.0137
1.0506,0.0000,0.0000,0.0000,0.8363,0.2143,200,5.0457
1.0053,0.0000,0.0000,0.0000,0.7981,0.2071,200,6.0963
1.0120,0.0000,0.0000,0.0000,0.8060,0.2059,200,7.1016
1.1089,0.0000,0.0000,0.0000,0.8895,0.2193,200,8.1136
0.8624,0.0000,0.0000,0.0000,0.7652,0.0971,200,9.2225
0.9893,0.0000,0.0000,0.0000,0.8367,0.1525,200,10.0848
0.9586,0.0000,0.0000,0.0000,0.8871,0.0714,200,11.0741
0.8688,0.0000,0.0000,0.0000,0.7913,0.0775,200,12.0327
0.8129,0.0000,0.0000,0.0000,0.7520,0.0608,200,12.9015
0.8789,0.0000,0.0000,0.0000,0.8073,0.0715,200,13.7144
0.8895,0.0000,0.0000,0.0000,0.8437,0.0457,200,14.5933
0.9029,0.0000,0.0000,0.0000,0.8450,0.0578,200,15.4827
0.9740,0.0000,0.0000,0.0000,0.7670,0.2069,200,16.3857
1.0417,0.0000,0.0000,0.0000,0.9771,0.0645,200,17.3597
0.8684,0.0000,0.0000,0.0000,0.7583,0.1100,200,18.4014
0.8139,0.0000,0.0000,0.0000,0.7520,0.0618,200,19.2697
0.8277,0.0000,0.0000,0.0000,0.7612,0.0665,200,20.0837
0.8851,0.0000,0.0000,0.0000,0.8357,0.0494,200,20.9114
0.8412,0.0000,0.0000,0.0000,0.7629,0.0783,200,21.7965
0.9034,0.0000,0.0000,0.0000,0.8375,0.0659,200,22.6377
0.8303,0.0000,0.0000,0.0000,0.7652,0.0651,200,23.5411
0.8289,0.0000,0.0000,0.0000,0.7498,0.0790,200,24.3715
0.9229,0.0000,0.0000,0.0000,0.8708,0.0520,200,25.2003
0.8255,0.0000,0.0000,0.0000,0.7690,0.0564,200,26.1232
0.8941,0.0000,0.0000,0.0000,0.8195,0.0745,200,26.9487
0.9401,0.0000,0.0000,0.0000,0.8285,0.1115,200,27.8428
0.8567,0.0000,0.0000,0.0000,0.7920,0.0647,200,28.7829
0.9093,0.0000,0.0000,0.0000,0.8384,0.0708,200,29.6396
0.8001,0.0000,0.0000,0.0000,0.7468,0.0532,200,30.5489
0.8989,0.0000,0.0000,0.0000,0.8366,0.0622,200,31.3489
0.8308,0.0000,0.0000,0.0000,0.7780,0.0528,200,32.2478
0.8748,0.0000,0.0000,0.0000,0.8116,0.0631,200,33.0786
0.9741,0.0000,0.0000,0.0000,0.8393,0.1348,200,33.9535
0.8574,0.0000,0.0000,0.0000,0.7941,0.0633,200,34.9276
0.9682,0.0000,0.0000,0.0000,0.9152,0.0529,200,35.7850
0.9256,0.0000,0.0000,0.0000,0.8659,0.0597,200,36.7532
0.8039,0.0000,0.0000,0.0000,0.7544,0.0494,200,37.6788
0.8510,0.0000,0.0000,0.0000,0.7551,0.0959,200,38.4827
0.8300,0.0000,0.0000,0.0000,0.7593,0.0706,200,39.3337
0.8947,0.0000,0.0000,0.0000,0.7704,0.1243,200,40.1638
1.0230,0.0000,0.0000,0.0000,0.9605,0.0625,200,41.0585
0.8099,0.0000,0.0000,0.0000,0.7601,0.0498,200,42.0815
0.9090,0.0000,0.0000,0.0000,0.8475,0.0615,200,42.8914
0.8906,0.0000,0.0000,0.0000,0.8348,0.0557,200,43.8004
0.8178,0.0000,0.0000,0.0000,0.7606,0.0571,200,44.6910
0.8855,0.0000,0.0000,0.0000,0.8338,0.0517,200,45.5088
