response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
11.2294,0.3002,0.0062,0.0001,5.1872,5.7417,200,0.0002
7.7826,0.0000,0.0000,0.0000,5.0280,2.7546,200,11.2297
6.3183,0.0000,0.0000,0.0000,4.9353,1.3829,200,19.0123
8.5126,0.0000,0.0000,0.0000,5.0750,3.4376,200,25.3306
7.6871,0.0000,0.0000,0.0000,5.0778,2.6092,200,33.8432
7.2697,0.0000,0.0000,0.0000,5.0102,2.2595,200,41.5304
8.0075,0.0000,0.0000,0.0000,4.9982,3.0093,200,48.8001
7.3819,0.0000,0.0000,0.0000,4.8982,2.4836,200,56.8076
7.5037,0.0000,0.0000,0.0000,4.9829,2.5208,200,64.1895
6.9460,0.0000,0.0000,0.0000,4.9786,1.9673,200,71.6932
6.6299,0.0000,0.0000,0.0000,5.0622,1.5676,200,78.6392
6.1203,0.0000,0.0000,0.0001,5.0191,1.1012,200,85.2691
6.7469,0.0000,0.0000,0.0000,5.0527,1.6942,200,91.3894
6.0026,0.0000,0.0000,0.0000,4.9461,1.0565,200,98.1363
10.3296,0.0000,0.0000,0.0000,4.9113,5.4183,200,104.1389
6.9646,0.0000,0.0000,0.0000,4.9628,2.0017,200,114.4685
6.8056,0.0000,0.0000,0.0000,4.9160,1.8895,200,121.4332
6.7703,0.0000,0.0000,0.0000,4.9858,1.7845,200,128.2387
7.3369,0.0000,0.0000,0.0000,4.9059,2.4309,200,135.0091
6.2371,0.0000,0.0000,0.0000,4.9881,1.2490,200,142.3460
