response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
12.8245,0.2876,0.0033,0.0002,5.7992,6.7374,200,0.0002
9.7039,0.0000,0.0000,0.0000,5.4168,4.2870,200,12.8247
10.2775,0.0000,0.0000,0.0000,5.3489,4.9285,200,22.5287
9.6733,0.0000,0.0000,0.0001,5.4031,4.2701,200,32.8062
6.3784,0.0000,0.0000,0.0000,5.3429,1.0354,200,42.4795
8.1760,0.0000,0.0000,0.0000,5.4121,2.7639,200,48.8579
6.4904,0.0000,0.0000,0.0000,5.3065,1.1838,200,57.0339
7.6508,0.0000,0.0000,0.0000,5.4883,2.1625,200,63.5243
8.0218,0.0000,0.0000,0.0000,5.4588,2.5629,200,71.1751
14.2182,0.0000,0.0000,0.0000,5.3929,8.8253,200,79.1969
7.7116,0.0000,0.0000,0.0000,5.5052,2.2064,200,93.4151
10.5051,0.0000,0.0000,0.0000,5.3765,5.1285,200,101.1267
18.5074,0.0000,0.0000,0.0000,5.4533,13.0539,200,111.6317
12.1301,0.0000,0.0000,0.0000,8.1331,3.9969,200,130.1391
6.8367,0.0000,0.0000,0.0000,5.3652,1.4715,200,142.2692
7.1892,0.0000,0.0000,0.0000,5.3310,1.8582,200,149.1060
11.1192,0.0000,0.0000,0.0000,5.4151,5.7040,200,156.2952
9.3942,0.0000,0.0000,0.0000,5.3697,4.0244,200,167.4143
11.0256,0.0000,0.0000,0.0000,6.6089,4.4167,200,176.8085
19.1063,0.0000,0.0000,0.0000,5.3175,13.7888,200,187.8341
