response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.4535,0.0005,0.0000,0.0002,1.7007,0.7519,200,0.0002
1.3699,0.0000,0.0000,0.0001,1.3414,0.0283,200,2.4536
1.3889,0.0000,0.0000,0.0001,0.8794,0.5094,200,3.8235
1.3979,0.0000,0.0000,0.0000,0.8859,0.5119,200,5.2124
1.4029,0.0000,0.0000,0.0000,0.9350,0.4678,200,6.6103
1.4296,0.0000,0.0000,0.0000,0.8998,0.5297,200,8.0132
1.3852,0.0000,0.0000,0.0000,0.9065,0.4786,200,9.4428
1.4303,0.0000,0.0000,0.0000,0.8945,0.5358,200,10.8280
1.4284,0.0000,0.0000,0.0000,0.9170,0.5114,200,12.2583
1.1489,0.0000,0.0000,0.0000,0.8794,0.2694,200,13.6867
1.1526,0.0000,0.0000,0.0000,0.8901,0.2625,200,14.8356
1.1567,0.0000,0.0000,0.0001,0.8944,0.2622,200,15.9882
1.0866,0.0000,0.0000,0.0000,0.8607,0.2259,200,17.1449
1.8760,0.0000,0.0000,0.0000,0.8929,0.9830,200,18.2315
1.7402,0.0000,0.0000,0.0000,1.0298,0.7103,200,20.1075
1.6507,0.0000,0.0000,0.0000,0.9022,0.7484,200,21.8477
1.3909,0.0000,0.0000,0.0001,0.8751,0.5157,200,23.4984
1.3828,0.0000,0.0000,0.0000,0.8828,0.4999,200,24.8893
1.3792,0.0000,0.0000,0.0000,0.8823,0.4968,200,26.2721
1.3314,0.0000,0.0000,0.0000,0.8589,0.4725,200,27.6513
