response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.4939,0.0010,0.0000,0.0002,2.8383,0.6542,200,0.0002
3.1379,0.0000,0.0000,0.0000,2.4084,0.7295,200,3.4941
3.0460,0.0000,0.0000,0.0000,2.6109,0.4351,200,6.6320
3.0697,0.0000,0.0000,0.0001,2.6171,0.4526,200,9.6780
3.0315,0.0000,0.0000,0.0001,2.5848,0.4465,200,12.7478
3.7045,0.0000,0.0000,0.0000,2.6648,1.0397,200,15.7792
3.4089,0.0000,0.0000,0.0000,2.5681,0.8408,200,19.4837
3.3552,0.0000,0.0000,0.0000,2.5495,0.8056,200,22.8927
3.3961,0.0000,0.0000,0.0000,2.5763,0.8197,200,26.2479
3.3718,0.0000,0.0000,0.0000,2.5614,0.8104,200,29.6440
3.4273,0.0000,0.0000,0.0000,2.6202,0.8070,200,33.0158
3.1957,0.0000,0.0000,0.0000,2.5720,0.6237,200,36.4431
3.2040,0.0000,0.0000,0.0000,2.5728,0.6312,200,39.6389
3.1802,0.0000,0.0000,0.0000,2.5626,0.6176,200,42.8429
3.2363,0.0000,0.0000,0.0000,2.5911,0.6451,200,46.0231
3.1112,0.0000,0.0000,0.0000,2.5520,0.5591,200,49.2593
3.1502,0.0000,0.0000,0.0001,2.5495,0.6007,200,52.3705
3.0737,0.0000,0.0000,0.0000,2.4509,0.6227,200,55.5207
3.0433,0.0000,0.0000,0.0000,2.4181,0.6252,200,58.5944
3.0008,0.0000,0.0000,0.0000,2.1796,0.8211,200,61.6377
