response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.2691,0.0007,0.0000,0.0001,1.4233,0.8449,200,0.0002
1.4257,0.0000,0.0000,0.0000,0.9987,0.4269,200,2.2693
1.1620,0.0000,0.0000,0.0000,0.7481,0.4139,200,3.6949
1.2901,0.0000,0.0000,0.0001,0.8683,0.4216,200,4.8570
1.2252,0.0000,0.0000,0.0000,0.8066,0.4185,200,6.1470
1.2202,0.0000,0.0000,0.0000,0.8109,0.4093,200,7.3722
1.5305,0.0000,0.0000,0.0000,0.8194,0.7109,200,8.5924
1.1592,0.0000,0.0000,0.0000,0.7327,0.4264,200,10.1229
1.1683,0.0000,0.0000,0.0000,0.7372,0.4310,200,11.2820
1.3686,0.0000,0.0000,0.0000,0.9557,0.4128,200,12.4503
1.1465,0.0000,0.0000,0.0000,0.7373,0.4091,200,13.8189
1.1485,0.0000,0.0000,0.0000,0.7301,0.4183,200,14.9654
1.3939,0.0000,0.0000,0.0000,0.9790,0.4148,200,16.1138
1.1473,0.0000,0.0000,0.0000,0.7347,0.4125,200,17.5078
1.3102,0.0000,0.0000,0.0001,0.8948,0.4153,200,18.6550
1.2272,0.0000,0.0000,0.0000,0.8141,0.4131,200,19.9653
1.2284,0.0000,0.0000,0.0001,0.8149,0.4135,200,21.1925
1.2369,0.0000,0.0000,0.0000,0.8158,0.4210,200,22.4209
1.2024,0.0000,0.0000,0.0000,0.7854,0.4169,200,23.6579
1.2521,0.0000,0.0000,0.0000,1.2450,0.0071,200,24.8602
