response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.1587,0.0006,0.0000,0.0002,1.5294,0.6284,200,0.0002
1.7411,0.0000,0.0000,0.0000,0.9239,0.8171,200,2.1588
1.7666,0.0000,0.0000,0.0001,1.1338,0.6327,200,3.9000
1.9332,0.0000,0.0000,0.0000,1.0107,0.9225,200,5.6666
1.7354,0.0000,0.0000,0.0001,1.1223,0.6130,200,7.5998
1.7696,0.0000,0.0000,0.0000,1.1268,0.6427,200,9.3351
1.5652,0.0000,0.0000,0.0000,0.9427,0.6225,200,11.1047
2.0955,0.0000,0.0000,0.0000,1.2724,0.8230,200,12.6700
1.7479,0.0000,0.0000,0.0000,1.1281,0.6197,200,14.7655
1.5796,0.0000,0.0000,0.0000,1.3729,0.2066,200,16.5134
1.5698,0.0000,0.0000,0.0000,1.1337,0.4361,200,18.0930
1.9705,0.0000,0.0000,0.0000,1.1462,0.8242,200,19.6629
2.6497,0.0000,0.0000,0.0000,1.0186,1.6310,200,21.6333
1.8986,0.0000,0.0000,0.0000,1.0850,0.8135,200,24.2830
1.9590,0.0000,0.0000,0.0000,0.9149,1.0440,200,26.1816
1.9813,0.0000,0.0000,0.0000,1.1641,0.8172,200,28.1406
1.9254,0.0000,0.0000,0.0000,1.1166,0.8087,200,30.1219
1.9791,0.0000,0.0000,0.0000,0.9640,1.0150,200,32.0472
1.7153,0.0000,0.0000,0.0000,0.8999,0.8153,200,34.0263
1.8371,0.0000,0.0000,0.0001,1.2424,0.5946,200,35.7416
