response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
5.2645,0.0007,0.0000,0.0002,1.8551,3.4084,200,0.0002
2.6901,0.0000,0.0000,0.0001,1.1172,1.5727,200,5.2646
1.7652,0.0000,0.0000,0.0000,0.9345,0.8306,200,7.9548
1.3480,0.0000,0.0000,0.0000,0.9247,0.4233,200,9.7200
1.2484,0.0000,0.0000,0.0000,0.8074,0.4409,200,11.0680
1.1391,0.0000,0.0000,0.0000,0.7297,0.4093,200,12.3164
2.1871,0.0000,0.0000,0.0000,0.7526,1.4345,200,13.4555
1.3630,0.0000,0.0000,0.0000,0.9406,0.4223,200,15.6426
1.3346,0.0000,0.0000,0.0000,0.7210,0.6135,200,17.0056
1.3522,0.0000,0.0000,0.0000,0.9078,0.4443,200,18.3403
1.2047,0.0000,0.0000,0.0000,0.7832,0.4214,200,19.6925
1.1477,0.0000,0.0000,0.0000,0.7255,0.4221,200,20.8971
1.1408,0.0000,0.0000,0.0000,0.7212,0.4196,200,22.0449
1.3970,0.0000,0.0000,0.0000,0.9787,0.4182,200,23.1856
1.2300,0.0000,0.0000,0.0000,0.8099,0.4200,200,24.5826
1.2224,0.0000,0.0000,0.0001,0.8090,0.4133,200,25.8126
1.2001,0.0000,0.0000,0.0000,0.7654,0.4346,200,27.0350
1.3632,0.0000,0.0000,0.0000,0.7387,0.6245,200,28.2351
1.6240,0.0000,0.0000,0.0001,1.2136,0.4103,200,29.5983
1.3667,0.0000,0.0000,0.0000,0.7310,0.6357,200,31.2223
