response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.7472,0.0019,0.0000,0.0006,2.3371,0.4073,200,0.0012
2.1419,0.0000,0.0000,0.0001,1.5500,0.5917,200,2.7484
2.0770,0.0000,0.0000,0.0000,1.6742,0.4027,200,4.8903
2.1354,0.0000,0.0000,0.0000,1.5274,0.6079,200,6.9673
2.1472,0.0000,0.0000,0.0001,1.7352,0.4118,200,9.1027
2.1104,0.0000,0.0000,0.0000,1.5090,0.6013,200,11.2499
2.1850,0.0000,0.0000,0.0001,1.7801,0.4049,200,13.3602
2.1508,0.0000,0.0000,0.0000,1.5521,0.5987,200,15.5453
2.1446,0.0000,0.0000,0.0000,1.5517,0.5928,200,17.6960
2.1494,0.0000,0.0000,0.0000,1.5574,0.5919,200,19.8406
2.1524,0.0000,0.0000,0.0001,1.5580,0.5943,200,21.9901
2.1394,0.0000,0.0000,0.0000,1.7366,0.4027,200,24.1425
2.0813,0.0000,0.0000,0.0000,1.4833,0.5979,200,26.2819
2.2479,0.0000,0.0000,0.0000,1.6368,0.6110,200,28.3632
2.4637,0.0000,0.0000,0.0000,1.8464,0.6172,200,30.6110
1.9087,0.0000,0.0000,0.0000,1.4885,0.4201,200,33.0747
2.3987,0.0000,0.0000,0.0001,1.7743,0.6243,200,34.9834
2.3431,0.0000,0.0000,0.0000,1.7207,0.6223,200,37.3821
2.5091,0.0000,0.0000,0.0000,1.9146,0.5944,200,39.7252
2.3745,0.0000,0.0000,0.0000,1.7821,0.5923,200,42.2343
