response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.3557,0.0006,0.0000,0.0001,1.7079,1.6470,200,0.0002
2.2353,0.0000,0.0000,0.0001,1.0785,1.1567,200,3.3559
2.0218,0.0000,0.0000,0.0001,1.3358,0.6859,200,5.5912
2.1122,0.0000,0.0000,0.0000,1.4641,0.6480,200,7.6129
2.0373,0.0000,0.0000,0.0000,1.1960,0.8412,200,9.7251
2.1725,0.0000,0.0000,0.0000,1.3091,0.8633,200,11.7624
1.6982,0.0000,0.0000,0.0000,1.0778,0.6204,200,13.9349
1.9465,0.0000,0.0000,0.0000,1.1241,0.8223,200,15.6331
2.0565,0.0000,0.0000,0.0000,1.3289,0.7276,200,17.5795
1.5364,0.0000,0.0000,0.0000,1.1143,0.4220,200,19.6360
1.7033,0.0000,0.0000,0.0000,1.0740,0.6292,200,21.1724
1.8785,0.0000,0.0000,0.0001,1.2550,0.6235,200,22.8757
1.5044,0.0000,0.0000,0.0000,1.0805,0.4238,200,24.7543
1.6758,0.0000,0.0000,0.0000,1.2511,0.4247,200,26.2587
1.5254,0.0000,0.0000,0.0000,1.1039,0.4215,200,27.9345
1.5386,0.0000,0.0000,0.0001,1.1213,0.4171,200,29.4599
1.5055,0.0000,0.0000,0.0000,1.0787,0.4267,200,30.9985
1.4898,0.0000,0.0000,0.0000,1.0717,0.4180,200,32.5040
1.6130,0.0000,0.0000,0.0000,1.1959,0.4170,200,33.9939
1.5423,0.0000,0.0000,0.0000,1.1187,0.4235,200,35.6068
