response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.2201,0.0007,0.0000,0.0002,1.3994,0.8197,200,0.0002
1.2266,0.0000,0.0000,0.0001,0.7939,0.4327,200,2.2202
1.6597,0.0000,0.0000,0.0000,1.0469,0.6127,200,3.4469
1.7222,0.0000,0.0000,0.0000,0.7909,0.9312,200,5.1066
1.4698,0.0000,0.0000,0.0000,0.8395,0.6302,200,6.8287
1.4229,0.0000,0.0000,0.0000,0.7872,0.6356,200,8.2985
1.5415,0.0000,0.0000,0.0000,0.9167,0.6247,200,9.7214
1.3960,0.0000,0.0000,0.0000,0.7787,0.6172,200,11.2628
1.7878,0.0000,0.0000,0.0000,0.7954,0.9923,200,12.6588
2.0462,0.0000,0.0000,0.0000,0.7994,1.2468,200,14.4466
1.9323,0.0000,0.0000,0.0000,0.9032,1.0291,200,16.4929
1.8407,0.0000,0.0000,0.0000,0.8068,1.0339,200,18.4252
1.8178,0.0000,0.0000,0.0000,0.7931,1.0246,200,20.2659
1.8685,0.0000,0.0000,0.0000,0.8427,1.0258,200,22.0836
1.6531,0.0000,0.0000,0.0000,0.8173,0.8358,200,23.9522
2.0207,0.0000,0.0000,0.0000,1.0070,1.0136,200,25.6053
1.4742,0.0000,0.0000,0.0001,0.8301,0.6439,200,27.6260
1.5311,0.0000,0.0000,0.0000,0.8926,0.6383,200,29.1001
1.4547,0.0000,0.0000,0.0001,0.7966,0.6580,200,30.6312
1.4071,0.0000,0.0000,0.0000,0.7848,0.6222,200,32.0859
