response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.0131,0.0007,0.0000,0.0001,1.3865,0.6258,200,0.0002
1.6614,0.0000,0.0000,0.0001,1.0202,0.6410,200,2.0133
1.5315,0.0000,0.0000,0.0000,0.8950,0.6364,200,3.6746
1.5083,0.0000,0.0000,0.0000,0.8999,0.6083,200,5.2061
1.2499,0.0000,0.0000,0.0001,0.8041,0.4458,200,6.7145
1.3262,0.0000,0.0000,0.0000,0.9078,0.4183,200,7.9644
1.2350,0.0000,0.0000,0.0000,0.8094,0.4255,200,9.2906
1.2282,0.0000,0.0000,0.0000,0.8068,0.4213,200,10.5256
1.2156,0.0000,0.0000,0.0000,0.8053,0.4103,200,11.7538
2.3984,0.0000,0.0000,0.0000,0.8171,1.5813,200,12.9695
1.4862,0.0000,0.0000,0.0000,0.8769,0.6092,200,15.3679
1.7333,0.0000,0.0000,0.0000,1.1242,0.6090,200,16.8541
1.8444,0.0000,0.0000,0.0000,1.0364,0.8079,200,18.5873
1.8321,0.0000,0.0000,0.0001,1.2321,0.6000,200,20.4317
1.8516,0.0000,0.0000,0.0000,1.2415,0.6100,200,22.2639
1.6526,0.0000,0.0000,0.0000,1.0388,0.6138,200,24.1154
1.8461,0.0000,0.0000,0.0000,0.9644,0.8816,200,25.7681
1.4489,0.0000,0.0000,0.0001,0.7669,0.6819,200,27.6142
1.6279,0.0000,0.0000,0.0001,1.2091,0.4187,200,29.0631
1.8369,0.0000,0.0000,0.0000,0.9141,0.9227,200,30.6910
