response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.4852,0.0007,0.0000,0.0002,1.8615,1.6223,200,0.0002
2.1807,0.0000,0.0000,0.0001,1.3881,0.7924,200,3.4853
1.9614,0.0000,0.0000,0.0000,0.9546,1.0068,200,5.6660
1.9581,0.0000,0.0000,0.0000,1.1581,0.7999,200,7.6274
1.9717,0.0000,0.0000,0.0000,0.9535,1.0181,200,9.5855
2.0327,0.0000,0.0000,0.0000,1.2161,0.8166,200,11.5572
2.6246,0.0000,0.0000,0.0000,1.1541,1.4705,200,13.5899
2.1318,0.0000,0.0000,0.0000,0.9480,1.1838,200,16.2145
1.9708,0.0000,0.0000,0.0000,1.1470,0.8238,200,18.3464
1.9545,0.0000,0.0000,0.0001,1.1379,0.8165,200,20.3172
2.3323,0.0000,0.0000,0.0000,1.1419,1.1904,200,22.2717
2.1134,0.0000,0.0000,0.0000,1.1502,0.9631,200,24.6041
2.2597,0.0000,0.0000,0.0000,1.1443,1.1153,200,26.7175
1.9628,0.0000,0.0000,0.0000,0.9414,1.0213,200,28.9772
2.1599,0.0000,0.0000,0.0000,1.1437,1.0161,200,30.9400
8.4306,0.0000,0.0000,0.0000,2.5347,5.8958,200,33.0999
2.9413,0.0000,0.0000,0.0001,1.1650,1.7762,200,41.5305
2.4003,0.0000,0.0000,0.0000,1.1275,1.2727,200,44.4718
2.3289,0.0000,0.0000,0.0000,1.3385,0.9904,200,46.8721
2.8205,0.0000,0.0000,0.0000,0.9391,1.8814,200,49.2010
