response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.4618,0.0007,0.0000,0.0001,1.8266,0.6342,200,0.0002
1.7901,0.0000,0.0000,0.0001,1.1816,0.6084,200,2.4620
2.7702,0.0000,0.0000,0.0001,1.4156,1.3544,200,4.2521
2.7535,0.0000,0.0000,0.0000,1.1950,1.5584,200,7.0223
2.5503,0.0000,0.0000,0.0000,1.1596,1.3906,200,9.7759
2.4023,0.0000,0.0000,0.0000,1.3667,1.0355,200,12.3262
2.0075,0.0000,0.0000,0.0000,1.1896,0.8179,200,14.7285
1.8446,0.0000,0.0000,0.0000,1.2120,0.6325,200,16.7360
1.7461,0.0000,0.0000,0.0000,1.3087,0.4374,200,18.5806
1.6076,0.0000,0.0000,0.0000,0.9622,0.6453,200,20.3267
1.5757,0.0000,0.0000,0.0000,0.9573,0.6184,200,21.9343
1.3942,0.0000,0.0000,0.0000,0.9614,0.4327,200,23.5101
1.4821,0.0000,0.0000,0.0000,0.9713,0.5107,200,24.9042
2.2974,0.0000,0.0000,0.0000,0.9683,1.3291,200,26.3863
1.5920,0.0000,0.0000,0.0000,0.9690,0.6229,200,28.6837
1.5941,0.0000,0.0000,0.0001,1.1747,0.4193,200,30.2757
1.6025,0.0000,0.0000,0.0001,0.9638,0.6386,200,31.8698
1.9027,0.0000,0.0000,0.0001,1.2732,0.6294,200,33.4723
1.5886,0.0000,0.0000,0.0000,0.9695,0.6191,200,35.3750
1.5188,0.0000,0.0000,0.0000,1.0790,0.4397,200,36.9636
