response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.9709,0.0009,0.0000,0.0003,1.6336,1.3360,200,0.0003
2.4347,0.0000,0.0000,0.0000,0.9473,1.4873,200,2.9712
2.5886,0.0000,0.0000,0.0000,1.1652,1.4233,200,5.4058
2.3159,0.0000,0.0000,0.0001,0.9402,1.3756,200,7.9944
2.0914,0.0000,0.0000,0.0000,0.9602,1.1312,200,10.3104
1.8232,0.0000,0.0000,0.0001,0.9282,0.8948,200,12.4018
1.6157,0.0000,0.0000,0.0000,0.9453,0.6704,200,14.2250
1.6373,0.0000,0.0000,0.0000,0.9261,0.7111,200,15.8408
1.6848,0.0000,0.0000,0.0000,0.9594,0.7253,200,17.4781
1.4201,0.0000,0.0000,0.0001,0.9475,0.4724,200,19.1629
1.6531,0.0000,0.0000,0.0000,0.9454,0.7076,200,20.5830
1.5907,0.0000,0.0000,0.0000,0.9226,0.6681,200,22.2361
1.3930,0.0000,0.0000,0.0000,0.9103,0.4827,200,23.8268
1.3785,0.0000,0.0000,0.0000,0.9349,0.4435,200,25.2199
2.4289,0.0000,0.0000,0.0000,0.9387,1.4901,200,26.5983
1.6620,0.0000,0.0000,0.0001,1.1634,0.4985,200,29.0272
4.9210,0.0000,0.0000,0.0000,2.8217,2.0992,200,30.6892
3.4686,0.0000,0.0000,0.0000,1.1659,2.3026,200,35.6102
3.3564,0.0000,0.0000,0.0001,1.2001,2.1562,200,39.0788
3.2852,0.0000,0.0000,0.0000,1.1573,2.1278,200,42.4352
