response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
6.7882,0.1935,0.0038,0.0002,5.2090,1.3854,200,0.0002
5.5900,0.0000,0.0000,0.0000,5.1449,0.4450,200,6.7884
5.6692,0.0000,0.0000,0.0000,5.1540,0.5151,200,12.3784
5.5694,0.0000,0.0000,0.0001,5.0729,0.4964,200,18.0476
5.6603,0.0000,0.0000,0.0000,5.1673,0.4929,200,23.6170
5.7093,0.0000,0.0000,0.0000,5.2273,0.4820,200,29.2773
5.7185,0.0000,0.0000,0.0000,5.2416,0.4768,200,34.9866
5.5943,0.0000,0.0000,0.0000,5.1337,0.4605,200,40.7051
5.7436,0.0000,0.0000,0.0000,5.2658,0.4777,200,46.2994
5.5243,0.0000,0.0000,0.0000,5.0759,0.4483,200,52.0429
5.7447,0.0000,0.0000,0.0000,5.1379,0.6067,200,57.5672
5.6885,0.0000,0.0000,0.0000,5.2129,0.4756,200,63.3119
5.7661,0.0000,0.0000,0.0000,5.2691,0.4970,200,69.0004
5.6823,0.0000,0.0000,0.0000,5.2086,0.4736,200,74.7665
5.6176,0.0000,0.0000,0.0000,5.1366,0.4810,200,80.4489
5.6457,0.0000,0.0000,0.0000,5.1821,0.4635,200,86.0664
5.8110,0.0000,0.0000,0.0000,5.3145,0.4964,200,91.7121
5.7146,0.0000,0.0000,0.0000,5.2375,0.4770,200,97.5231
5.6011,0.0000,0.0000,0.0000,5.1056,0.4954,200,103.2377
5.6211,0.0000,0.0000,0.0000,5.1475,0.4735,200,108.8388
