response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
6.7199,0.2244,0.0042,0.0002,4.9158,1.5794,200,0.0002
5.3098,0.0000,0.0000,0.0000,4.8455,0.4643,200,6.7201
5.4655,0.0000,0.0000,0.0000,4.9613,0.5041,200,12.0299
5.4884,0.0000,0.0000,0.0000,4.8650,0.6234,200,17.4954
5.3488,0.0000,0.0000,0.0000,4.8456,0.5032,200,22.9839
5.3183,0.0000,0.0000,0.0000,4.8158,0.5024,200,28.3327
5.3481,0.0000,0.0000,0.0000,4.8800,0.4680,200,33.6510
5.3635,0.0000,0.0000,0.0001,4.8389,0.5245,200,38.9991
5.2886,0.0000,0.0000,0.0000,4.8082,0.4803,200,44.3626
5.4918,0.0000,0.0000,0.0000,4.8198,0.6720,200,49.6512
6.3644,0.0000,0.0000,0.0000,4.9962,1.3681,200,55.1431
5.4818,0.0000,0.0000,0.0000,4.9505,0.5312,200,61.5074
5.3403,0.0000,0.0000,0.0000,4.7977,0.5426,200,66.9892
5.5474,0.0000,0.0000,0.0000,4.8432,0.7041,200,72.3296
5.7536,0.0000,0.0000,0.0000,4.8856,0.8680,200,77.8769
5.4822,0.0000,0.0000,0.0000,4.8346,0.6475,200,83.6305
5.6872,0.0000,0.0000,0.0000,4.9574,0.7298,200,89.1127
5.5488,0.0000,0.0000,0.0000,4.8790,0.6697,200,94.8000
5.4875,0.0000,0.0000,0.0000,4.8259,0.6616,200,100.3487
5.4723,0.0000,0.0000,0.0000,4.9801,0.4921,200,105.8362
