response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
6.9427,0.0009,0.0000,0.0001,5.1031,1.8384,200,0.0003
7.4108,0.0000,0.0000,0.0001,4.7486,2.6620,200,6.9430
6.7601,0.0000,0.0000,0.0000,4.5919,2.1680,200,14.3538
6.4851,0.0000,0.0000,0.0000,4.7089,1.7761,200,21.1139
7.1301,0.0000,0.0000,0.0000,4.5770,2.5530,200,27.5990
7.0175,0.0000,0.0000,0.0000,4.5671,2.4503,200,34.7291
7.8239,0.0000,0.0000,0.0000,4.7165,3.1074,200,41.7466
9.0958,0.0000,0.0000,0.0000,4.7767,4.3190,200,49.5705
8.7365,0.0000,0.0000,0.0001,4.7180,4.0183,200,58.6664
8.4116,0.0000,0.0000,0.0000,4.7609,3.6506,200,67.4028
8.3607,0.0000,0.0000,0.0000,4.9229,3.4377,200,75.8145
8.5965,0.0000,0.0000,0.0000,4.7805,3.8160,200,84.1752
8.1884,0.0000,0.0000,0.0001,4.7549,3.4334,200,92.7717
8.1815,0.0000,0.0000,0.0000,4.7368,3.4446,200,100.9601
7.7675,0.0000,0.0000,0.0000,4.5550,3.2124,200,109.1416
12.9507,0.0000,0.0000,0.0000,4.7549,8.1957,200,116.9091
9.2108,0.0000,0.0000,0.0000,4.5742,4.6365,200,129.8599
9.6890,0.0000,0.0000,0.0000,4.5828,5.1061,200,139.0707
17.2091,0.0000,0.0000,0.0000,4.6878,12.5213,200,148.7596
10.8376,0.0000,0.0000,0.0001,4.8374,6.0001,200,165.9688
