response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
8.1832,0.0009,0.0000,0.0002,5.9397,2.2423,200,0.0002
8.7013,0.0000,0.0000,0.0000,5.7331,2.9682,200,8.1834
9.0167,0.0000,0.0000,0.0000,5.9326,3.0840,200,16.8847
11.1506,0.0000,0.0000,0.0000,5.9181,5.2325,200,25.9014
12.3139,0.0000,0.0000,0.0000,5.7269,6.5869,200,37.0520
11.1559,0.0000,0.0000,0.0000,5.8839,5.2720,200,49.3659
10.0622,0.0000,0.0000,0.0000,6.2195,3.8426,200,60.5218
9.5153,0.0000,0.0000,0.0001,5.9017,3.6135,200,70.5841
8.8243,0.0000,0.0000,0.0000,5.9030,2.9213,200,80.0994
10.8881,0.0000,0.0000,0.0000,6.0109,4.8772,200,88.9237
10.9256,0.0000,0.0000,0.0000,5.9095,5.0160,200,99.8118
12.0794,0.0000,0.0000,0.0000,5.8884,6.1909,200,110.7374
11.6949,0.0000,0.0000,0.0000,5.7074,5.9875,200,122.8167
10.5825,0.0000,0.0000,0.0000,5.9140,4.6685,200,134.5117
8.2542,0.0000,0.0000,0.0001,5.9205,2.3336,200,145.0942
8.3588,0.0000,0.0000,0.0000,5.6896,2.6691,200,153.3484
9.9629,0.0000,0.0000,0.0000,5.8834,4.0794,200,161.7072
9.8628,0.0000,0.0000,0.0000,5.5000,4.3628,200,171.6700
11.5091,0.0000,0.0000,0.0000,5.6872,5.8218,200,181.5328
10.0691,0.0000,0.0000,0.0000,6.1095,3.9595,200,193.0419
