response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
26.2614,0.0010,0.0000,0.0002,22.2319,4.0282,200,0.0003
25.9637,0.0000,0.0000,0.0001,21.7509,4.2127,200,26.2617
26.9839,0.0000,0.0000,0.0001,22.4061,4.5777,200,52.2254
25.9479,0.0000,0.0000,0.0001,21.7142,4.2335,200,79.2093
25.3693,0.0000,0.0000,0.0000,21.9713,3.3980,200,105.1572
26.1848,0.0000,0.0000,0.0000,22.1001,4.0846,200,130.5266
26.4387,0.0000,0.0000,0.0000,22.0311,4.4075,200,156.7114
26.9540,0.0000,0.0000,0.0001,22.1720,4.7819,200,183.1500
26.9233,0.0000,0.0000,0.0001,22.5610,4.3621,200,210.1041
25.1053,0.0000,0.0000,0.0000,21.7944,3.3109,200,237.0273
26.7764,0.0000,0.0000,0.0000,21.6927,5.0836,200,262.1327
25.5685,0.0000,0.0000,0.0001,22.0266,3.5418,200,288.9091
25.0132,0.0000,0.0000,0.0000,21.7487,3.2644,200,314.4776
24.1940,0.0000,0.0000,0.0000,21.9438,2.2501,200,339.4907
25.5823,0.0000,0.0000,0.0001,21.5472,4.0350,200,363.6847
24.7954,0.0000,0.0000,0.0000,21.5647,3.2306,200,389.2670
25.9814,0.0000,0.0000,0.0000,21.5665,4.4148,200,414.0624
27.4655,0.0000,0.0000,0.0001,21.9993,5.4661,200,440.0438
29.0337,0.0000,0.0000,0.0000,21.6240,7.4095,200,467.5093
27.1151,0.0000,0.0000,0.0000,21.9899,5.1252,200,496.5430
