response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
7.8532,0.0018,0.0000,0.0002,5.0931,2.7571,200,0.0013
7.1202,0.0000,0.0000,0.0000,5.0750,2.0451,200,7.8544
7.1117,0.0000,0.0000,0.0000,4.6382,2.4735,200,14.9746
7.3312,0.0000,0.0000,0.0001,5.0346,2.2964,200,22.0863
8.6211,0.0000,0.0000,0.0000,5.4714,3.1496,200,29.4174
7.6961,0.0000,0.0000,0.0000,5.1034,2.5926,200,38.0385
7.6919,0.0000,0.0000,0.0000,4.8476,2.8442,200,45.7346
12.4010,0.0000,0.0000,0.0000,5.2834,7.1175,200,53.4265
8.0819,0.0000,0.0000,0.0000,4.6970,3.3848,200,65.8275
6.9519,0.0000,0.0000,0.0000,4.8943,2.0575,200,73.9094
6.8835,0.0000,0.0000,0.0000,4.8352,2.0482,200,80.8613
6.9645,0.0000,0.0000,0.0000,5.0268,1.9376,200,87.7448
7.5499,0.0000,0.0000,0.0000,5.0981,2.4517,200,94.7092
7.2808,0.0000,0.0000,0.0000,4.8954,2.3853,200,102.2592
7.4972,0.0000,0.0000,0.0000,5.3151,2.1821,200,109.5400
7.3068,0.0000,0.0000,0.0000,5.1925,2.1142,200,117.0372
6.9556,0.0000,0.0000,0.0000,5.1212,1.8344,200,124.3439
6.8426,0.0000,0.0000,0.0000,4.6520,2.1905,200,131.2995
6.8597,0.0000,0.0000,0.0052,5.0748,1.7715,200,138.1421
6.8466,0.0000,0.0000,0.0000,4.9830,1.8636,200,145.0018
