response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
13.5200,0.0009,0.0000,0.0002,6.1312,7.3877,200,0.0003
12.0791,0.0000,0.0000,0.0001,5.8736,6.2054,200,13.5202
11.8656,0.0000,0.0000,0.0001,5.4845,6.3809,200,25.5994
13.0754,0.0000,0.0000,0.0000,5.9268,7.1485,200,37.4650
10.7142,0.0000,0.0000,0.0000,5.9067,4.8074,200,50.5403
8.0682,0.0000,0.0000,0.0000,5.8966,2.1715,200,61.2545
7.4993,0.0000,0.0000,0.0000,5.9272,1.5720,200,69.3227
7.8041,0.0000,0.0000,0.0000,6.1036,1.7005,200,76.8220
7.6722,0.0000,0.0000,0.0000,5.9065,1.7656,200,84.6262
7.7328,0.0000,0.0000,0.0000,5.8853,1.8475,200,92.2984
9.2413,0.0000,0.0000,0.0000,6.5597,2.6815,200,100.0312
8.1707,0.0000,0.0000,0.0000,5.8963,2.2743,200,109.2725
17.3052,0.0000,0.0000,0.0000,5.8308,11.4743,200,117.4432
11.6347,0.0000,0.0000,0.0000,5.9370,5.6976,200,134.7484
8.0281,0.0000,0.0000,0.0000,5.9604,2.0676,200,146.3831
8.2218,0.0000,0.0000,0.0000,5.9768,2.2449,200,154.4112
9.0729,0.0000,0.0000,0.0001,5.8902,3.1826,200,162.6330
9.5029,0.0000,0.0000,0.0000,6.1077,3.3951,200,171.7059
10.6350,0.0000,0.0000,0.0000,5.5241,5.1109,200,181.2088
10.3282,0.0000,0.0000,0.0000,5.9676,4.3606,200,191.8438
