response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
9.5355,0.0008,0.0000,0.0002,6.1589,3.3756,200,0.0002
10.1275,0.0000,0.0000,0.0000,6.0412,4.0862,200,9.5357
10.7486,0.0000,0.0000,0.0000,5.9762,4.7723,200,19.6631
10.1870,0.0000,0.0000,0.0001,5.7356,4.4513,200,30.4118
10.0815,0.0000,0.0000,0.0000,5.5702,4.5112,200,40.5987
10.5625,0.0000,0.0000,0.0000,5.9076,4.6549,200,50.6803
13.2945,0.0000,0.0000,0.0000,5.5393,7.7551,200,61.2428
13.3789,0.0000,0.0000,0.0000,5.6516,7.7272,200,74.5373
12.9657,0.0000,0.0000,0.0000,5.5911,7.3745,200,87.9162
13.4640,0.0000,0.0000,0.0000,5.8932,7.5708,200,100.8819
9.1056,0.0000,0.0000,0.0000,5.8527,3.2528,200,114.3460
8.3330,0.0000,0.0000,0.0000,5.7889,2.5441,200,123.4515
8.4055,0.0000,0.0000,0.0000,5.9497,2.4557,200,131.7846
9.3548,0.0000,0.0000,0.0000,5.6980,3.6567,200,140.1900
9.6996,0.0000,0.0000,0.0001,5.6134,4.0861,200,149.5448
10.9302,0.0000,0.0000,0.0000,5.9126,5.0175,200,159.2444
11.1686,0.0000,0.0000,0.0000,6.1262,5.0424,200,170.1746
11.4575,0.0000,0.0000,0.0000,5.8215,5.6359,200,181.3433
9.0147,0.0000,0.0000,0.0000,5.8995,3.1151,200,192.8008
8.3347,0.0000,0.0000,0.0000,5.7058,2.6289,200,201.8155
