response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
7.5917,0.0006,0.0000,0.0002,5.2144,2.3763,200,0.0002
12.5137,0.0000,0.0000,0.0001,4.8649,7.6486,200,7.5919
9.1184,0.0000,0.0000,0.0000,4.2858,4.8325,200,20.1056
7.0780,0.0000,0.0000,0.0000,4.4634,2.6146,200,29.2239
7.6982,0.0000,0.0000,0.0000,4.6581,3.0400,200,36.3020
7.3679,0.0000,0.0000,0.0000,4.6610,2.7068,200,44.0001
6.7903,0.0000,0.0000,0.0000,4.4269,2.3633,200,51.3680
7.2040,0.0000,0.0000,0.0000,4.4302,2.7738,200,58.1583
7.5643,0.0000,0.0000,0.0000,4.4284,3.1358,200,65.3624
7.3873,0.0000,0.0000,0.0000,4.2778,3.1094,200,72.9266
7.2644,0.0000,0.0000,0.0000,4.5691,2.6953,200,80.3139
7.3480,0.0000,0.0000,0.0000,4.2816,3.0664,200,87.5783
7.3973,0.0000,0.0000,0.0000,4.4416,2.9557,200,94.9264
7.0595,0.0000,0.0000,0.0000,4.4598,2.5997,200,102.3237
6.9781,0.0000,0.0000,0.0000,4.4771,2.5009,200,109.3832
7.3921,0.0000,0.0000,0.0000,4.8126,2.5795,200,116.3613
7.1885,0.0000,0.0000,0.0000,4.4555,2.7329,200,123.7535
7.2126,0.0000,0.0000,0.0000,4.4460,2.7666,200,130.9420
7.0143,0.0000,0.0000,0.0000,4.4944,2.5199,200,138.1546
6.9813,0.0000,0.0000,0.0000,4.5472,2.4340,200,145.1690
