response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
13.9009,0.0006,0.0000,0.0001,9.3262,4.5738,200,0.0002
15.3069,0.0000,0.0000,0.0000,9.1657,6.1412,200,13.9011
14.6231,0.0000,0.0000,0.0001,8.7406,5.8824,200,29.2080
12.1581,0.0000,0.0000,0.0000,8.6239,3.5342,200,43.8311
11.4327,0.0000,0.0000,0.0001,8.9432,2.4894,200,55.9893
11.4850,0.0000,0.0000,0.0000,8.6579,2.8270,200,67.4220
11.3136,0.0000,0.0000,0.0000,8.5695,2.7441,200,78.9070
11.6320,0.0000,0.0000,0.0000,8.6552,2.9767,200,90.2206
12.4569,0.0000,0.0000,0.0000,8.4040,4.0528,200,101.8526
14.4615,0.0000,0.0000,0.0000,8.8801,5.5813,200,114.3095
15.3232,0.0000,0.0000,0.0000,8.4061,6.9170,200,128.7710
14.8592,0.0000,0.0000,0.0000,8.5913,6.2679,200,144.0942
13.9368,0.0000,0.0000,0.0000,8.8019,5.1349,200,158.9534
14.1005,0.0000,0.0000,0.0000,8.9111,5.1893,200,172.8902
11.3215,0.0000,0.0000,0.0000,9.0168,2.3046,200,186.9906
12.6650,0.0000,0.0000,0.0000,8.8605,3.8045,200,198.3121
13.1518,0.0000,0.0000,0.0000,8.6061,4.5457,200,210.9772
12.5034,0.0000,0.0000,0.0000,8.6321,3.8712,200,224.1290
14.6029,0.0000,0.0000,0.0000,8.8194,5.7834,200,236.6324
14.5434,0.0000,0.0000,0.0000,8.7275,5.8158,200,251.2353
