response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.5977,0.2745,0.0033,0.0002,0.8304,1.4924,200,0.0002
1.9593,0.0000,0.0000,0.0000,0.9080,1.0512,200,2.5980
3.1703,0.0000,0.0000,0.0000,2.1580,1.0122,200,4.5572
2.5872,0.0000,0.0000,0.0000,0.7952,1.7920,200,7.7275
2.7102,0.0000,0.0000,0.0000,1.3343,1.3758,200,10.3147
1.4759,0.0000,0.0000,0.0000,0.7972,0.6786,200,13.0249
1.3698,0.0000,0.0000,0.0000,0.7626,0.6072,200,14.5008
1.4321,0.0000,0.0000,0.0000,0.8512,0.5809,200,15.8706
1.3355,0.0000,0.0000,0.0000,0.8366,0.4988,200,17.3027
1.2185,0.0000,0.0000,0.0000,0.7931,0.4253,200,18.6382
1.1413,0.0000,0.0000,0.0000,0.7304,0.4108,200,19.8567
1.2576,0.0000,0.0000,0.0000,0.8511,0.4064,200,20.9980
1.4313,0.0000,0.0000,0.0000,0.9021,0.5291,200,22.2556
1.8195,0.0000,0.0000,0.0000,1.3988,0.4206,200,23.6869
1.7543,0.0000,0.0000,0.0000,1.0204,0.7338,200,25.5064
1.5709,0.0000,0.0000,0.0000,0.7901,0.7808,200,27.2606
1.5690,0.0000,0.0000,0.0000,1.1110,0.4579,200,28.8316
1.1792,0.0000,0.0000,0.0000,0.7815,0.3977,200,30.4006
1.1595,0.0000,0.0000,0.0000,0.7480,0.4114,200,31.5798
1.0644,0.0000,0.0000,0.0000,0.8419,0.2224,200,32.7393
5.2855,0.0000,0.0000,0.0000,0.7935,4.4919,200,33.8037
2.9412,0.0000,0.0000,0.0000,0.9424,1.9988,200,39.0892
2.4644,0.0000,0.0000,0.0000,1.0509,1.4135,200,42.0305
2.8435,0.0000,0.0000,0.0000,2.4716,0.3719,200,44.4949
1.2314,0.0000,0.0000,0.0000,0.7956,0.4357,200,47.3384
1.3310,0.0000,0.0000,0.0000,0.8184,0.5126,200,48.5698
1.4369,0.0000,0.0000,0.0000,0.8515,0.5853,200,49.9008
1.6445,0.0000,0.0000,0.0000,0.8166,0.8279,200,51.3377
1.2842,0.0000,0.0000,0.0000,0.7752,0.5090,200,52.9822
1.2103,0.0000,0.0000,0.0000,0.7910,0.4193,200,54.2664
1.1997,0.0000,0.0000,0.0000,0.7995,0.4001,200,55.4767
1.7652,0.0000,0.0000,0.0000,1.0706,0.6945,200,56.6764
1.2778,0.0000,0.0000,0.0000,0.8310,0.4467,200,58.4416
1.2411,0.0000,0.0000,0.0000,0.8091,0.4318,200,59.7193
1.4857,0.0000,0.0000,0.0000,1.0505,0.4351,200,60.9604
1.2554,0.0000,0.0000,0.0000,0.7997,0.4556,200,62.4461
1.1662,0.0000,0.0000,0.0000,0.7822,0.3840,200,63.7014
1.3563,0.0000,0.0000,0.0000,0.9414,0.4149,200,64.8677
1.0480,0.0000,0.0000,0.0000,0.7820,0.2660,200,66.2240
2.4148,0.0000,0.0000,0.0000,0.9412,1.4735,200,67.2720
2.4844,0.0000,0.0000,0.0000,0.9150,1.5694,200,69.6867
2.2526,0.0000,0.0000,0.0000,1.0625,1.1900,200,72.1712
1.1896,0.0000,0.0000,0.0000,0.8231,0.3664,200,74.4238
1.0458,0.0000,0.0000,0.0000,0.7761,0.2697,200,75.6133
1.1030,0.0000,0.0000,0.0000,0.7525,0.3505,200,76.6592
1.0255,0.0000,0.0000,0.0000,0.7790,0.2464,200,77.7622
1.0159,0.0000,0.0000,0.0000,0.7570,0.2589,200,78.7877
1.2618,0.0000,0.0000,0.0000,0.8665,0.3953,200,79.8036
1.3217,0.0000,0.0000,0.0000,0.7319,0.5898,200,81.0654
1.1972,0.0000,0.0000,0.0000,0.7838,0.4134,200,82.3871
