response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
6.1541,0.1946,0.0031,0.0002,3.7784,2.1808,200,0.0002
5.4032,0.0000,0.0000,0.0000,3.7504,1.6528,200,6.1543
5.2076,0.0000,0.0000,0.0000,3.6989,1.5087,200,11.5575
5.2402,0.0000,0.0000,0.0000,3.7928,1.4474,200,16.7651
5.0836,0.0000,0.0000,0.0000,3.6912,1.3923,200,22.0054
5.2332,0.0000,0.0000,0.0000,3.6902,1.5430,200,27.0889
6.2980,0.0000,0.0000,0.0000,3.7639,2.5340,200,32.3221
6.3419,0.0000,0.0000,0.0000,3.7238,2.6180,200,38.6201
6.2198,0.0000,0.0000,0.0000,3.6864,2.5334,200,44.9620
6.0226,0.0000,0.0000,0.0000,3.7216,2.3009,200,51.1818
5.8225,0.0000,0.0000,0.0000,3.7693,2.0531,200,57.2045
6.0011,0.0000,0.0000,0.0000,3.6761,2.3249,200,63.0269
5.9674,0.0000,0.0000,0.0000,3.6801,2.2872,200,69.0280
5.9722,0.0000,0.0000,0.0000,3.6963,2.2759,200,74.9954
5.6063,0.0000,0.0000,0.0000,3.7924,1.8139,200,80.9676
5.4496,0.0000,0.0000,0.0000,3.7053,1.7442,200,86.5739
5.9741,0.0000,0.0000,0.0000,3.7490,2.2250,200,92.0235
6.6444,0.0000,0.0000,0.0000,3.7548,2.8895,200,97.9976
6.8811,0.0000,0.0000,0.0000,3.9105,2.9705,200,104.6419
6.2987,0.0000,0.0000,0.0000,3.6829,2.6157,200,111.5230
