response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
6.8159,0.2015,0.0036,0.0002,4.0265,2.5876,200,0.0002
6.1720,0.0000,0.0000,0.0000,3.9874,2.1845,200,6.8162
5.2465,0.0000,0.0000,0.0000,4.0834,1.1630,200,12.9882
5.0019,0.0000,0.0000,0.0000,3.9354,1.0664,200,18.2347
4.7562,0.0000,0.0000,0.0000,3.9715,0.7846,200,23.2366
4.7400,0.0000,0.0000,0.0000,3.9788,0.7612,200,27.9928
4.7868,0.0000,0.0000,0.0000,4.0242,0.7626,200,32.7328
4.8923,0.0000,0.0000,0.0000,4.0390,0.8533,200,37.5197
4.7468,0.0000,0.0000,0.0000,3.9498,0.7969,200,42.4119
4.8000,0.0000,0.0000,0.0000,3.9343,0.8656,200,47.1587
5.0179,0.0000,0.0000,0.0000,3.9707,1.0471,200,51.9587
5.1169,0.0000,0.0000,0.0000,3.9712,1.1456,200,56.9766
5.1806,0.0000,0.0000,0.0000,4.0876,1.0929,200,62.0935
5.1414,0.0000,0.0000,0.0000,3.9295,1.2119,200,67.2741
5.0904,0.0000,0.0000,0.0000,3.9686,1.1218,200,72.4155
4.8687,0.0000,0.0000,0.0000,3.8965,0.9722,200,77.5059
5.2473,0.0000,0.0000,0.0000,3.9228,1.3244,200,82.3746
4.8884,0.0000,0.0000,0.0001,3.9319,0.9564,200,87.6219
4.9709,0.0000,0.0000,0.0000,3.9501,1.0208,200,92.5103
4.9720,0.0000,0.0000,0.0000,3.9901,0.9817,200,97.4813
