response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.3467,0.0035,0.0000,0.0005,1.7621,0.5790,200,0.0010
1.0782,0.0000,0.0000,0.0000,0.8597,0.2184,200,2.3477
1.0707,0.0000,0.0000,0.0000,0.8643,0.2063,200,3.4259
1.0520,0.0000,0.0000,0.0000,0.8427,0.2092,200,4.4965
1.0816,0.0000,0.0000,0.0000,0.8840,0.1975,200,5.5485
1.0502,0.0000,0.0000,0.0000,0.8486,0.2014,200,6.6301
2.1959,0.0007,0.0000,0.0001,1.4000,0.7950,200,0.0002
1.4590,0.0000,0.0000,0.0000,0.8551,0.6039,200,2.1960
1.3483,0.0000,0.0000,0.0001,0.9403,0.4079,200,3.6551
1.5407,0.0000,0.0000,0.0000,1.1285,0.4120,200,5.0034
1.5633,0.0000,0.0000,0.0000,1.1240,0.4392,200,6.5441
1.2695,0.0000,0.0000,0.0000,0.8529,0.4166,200,8.1074
1.9534,0.0000,0.0000,0.0000,1.0555,0.8979,200,9.3769
1.5051,0.0000,0.0000,0.0000,0.9049,0.6001,200,11.3303
1.4899,0.0000,0.0000,0.0000,0.8565,0.6334,200,12.8354
1.5912,0.0000,0.0000,0.0000,0.9868,0.6044,200,14.3253
1.2734,0.0000,0.0000,0.0000,0.8536,0.4198,200,15.9165
1.4598,0.0000,0.0000,0.0000,1.0483,0.4115,200,17.1900
1.6204,0.0000,0.0000,0.0000,1.1993,0.4211,200,18.6498
1.8399,0.0000,0.0000,0.0000,1.2208,0.6190,200,20.2702
1.3260,0.0000,0.0000,0.0001,0.9181,0.4078,200,22.1101
1.5411,0.0000,0.0000,0.0000,0.8522,0.6888,200,23.4361
1.5669,0.0000,0.0000,0.0000,1.1617,0.4051,200,24.9772
1.6989,0.0000,0.0000,0.0000,1.2863,0.4125,200,26.5441
1.4559,0.0000,0.0000,0.0001,0.8646,0.5913,200,28.2429
1.4201,0.0000,0.0000,0.0000,1.0095,0.4105,200,29.6989
