response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.2286,0.0007,0.0000,0.0002,1.6202,0.6074,200,0.0002
1.3976,0.0000,0.0000,0.0000,0.9786,0.4190,200,2.2288
1.4156,0.0000,0.0000,0.0001,0.9938,0.4216,200,3.6264
1.3846,0.0000,0.0000,0.0000,0.9777,0.4068,200,5.0420
1.8428,0.0000,0.0000,0.0000,1.0083,0.8344,200,6.4266
1.6028,0.0000,0.0000,0.0000,0.9786,0.6242,200,8.2694
1.5995,0.0000,0.0000,0.0000,0.9916,0.6078,200,9.8722
1.5995,0.0000,0.0000,0.0000,0.9885,0.6110,200,11.4716
1.5746,0.0000,0.0000,0.0000,0.9788,0.5958,200,13.0712
1.6028,0.0000,0.0000,0.0001,0.9869,0.6157,200,14.6458
1.5869,0.0000,0.0000,0.0001,0.9769,0.6099,200,16.2486
1.6025,0.0000,0.0000,0.0000,0.9968,0.6056,200,17.8355
1.5772,0.0000,0.0000,0.0000,0.9888,0.5883,200,19.4380
1.4129,0.0000,0.0000,0.0000,0.9939,0.4190,200,21.0151
2.4152,0.0000,0.0000,0.0000,1.4014,1.0138,200,22.4281
2.5422,0.0000,0.0000,0.0000,0.9830,1.5590,200,24.8433
2.3462,0.0000,0.0000,0.0000,0.9756,1.3705,200,27.3855
2.3652,0.0000,0.0000,0.0000,0.9782,1.3869,200,29.7317
2.1725,0.0000,0.0000,0.0000,1.1731,0.9993,200,32.0969
1.9766,0.0000,0.0000,0.0000,1.1824,0.7941,200,34.2694
